,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
0,dhps19hah2f4fzq,novice,1,1,12.4,20,ジャスミンガーデンズ東大前,14.7,8,19,12.6,10.1,4,3,female,21
1,dhps19hah2f4fzq,novice,1,2,9.0,1,ファイブスター後楽園,8.7,2,44,6.6,6.0,4,3,female,21
2,dhps19hah2f4fzq,novice,1,3,9.2,4,レジデンス三葉,13.0,5,33,10.0,7.5,4,3,female,21
3,dhps19hah2f4fzq,novice,1,4,16.3,2,さくらヒルズレジデンス,21.3,5,19,15.9,14.5,4,3,female,21
4,dhps19hah2f4fzq,novice,1,5,10.9,15,あじさいテラス,15.1,5,19,12.9,12.0,4,3,female,21
5,dhps19hah2f4fzq,novice,1,6,8.7,11,はまなすレイクビュー,10.9,5,35,8.7,6.8,4,3,female,21
6,dhps19hah2f4fzq,novice,1,7,10.7,16,リバーサイド黒田,16.1,2,22,13.2,11.1,4,3,female,21
7,dhps19hah2f4fzq,novice,1,8,7.2,5,ライフヴィラ白山,10.5,6,37,8.2,7.0,4,3,female,21
8,dhps19hah2f4fzq,novice,1,9,6.8,17,レインボーハウスRaffine,12.5,8,41,8.5,8.3,4,3,female,21
9,dhps19hah2f4fzq,novice,1,10,10.8,21,ウッドランド中西,15.8,7,8,14.7,14.5,4,3,female,21
10,dhps19hah2f4fzq,novice,1,11,6.9,0,ライフホームVIBRANT,7.3,5,18,9.3,5.9,4,3,female,21
11,dhps19hah2f4fzq,novice,1,12,11.5,19,グランポルテWILL,12.5,2,23,11.3,10.1,4,3,female,21
12,dhps19hah2f4fzq,novice,1,13,9.4,3,カーサ・ヴィラJulio,18.4,4,46,10.9,8.5,4,3,female,21
13,dhps19hah2f4fzq,novice,1,14,13.8,6,ハートフル文京,23.3,1,60,11.5,11.7,4,3,female,21
14,dhps19hah2f4fzq,novice,1,15,10.0,18,ハイランド竹澤,12.8,3,20,11.8,10.3,4,3,female,21
15,dhps19hah2f4fzq,novice,1,16,11.3,12,サンセットプレイス犬飼,15.9,9,7,14.8,12.4,4,3,female,21
16,dhps19hah2f4fzq,novice,1,17,9.7,10,コーポ内藤,13.0,4,48,8.0,11.1,4,3,female,21
17,dhps19hah2f4fzq,novice,1,18,8.9,9,つばき荘,15.8,4,24,12.7,8.7,4,3,female,21
18,dhps19hah2f4fzq,novice,1,19,10.0,13,ソレイユ豊川,13.4,5,13,13.0,9.6,4,3,female,21
19,dhps19hah2f4fzq,novice,1,20,12.8,14,グリーンリッジ本郷,18.5,2,4,16.8,13.8,4,3,female,21
20,dhps19hah2f4fzq,novice,1,21,8.2,23,センチュリーMINERVA,12.3,6,52,7.0,6.9,4,3,female,21
21,dhps19hah2f4fzq,novice,1,22,10.0,8,ふたばハイツ,19.0,7,36,12.4,11.8,4,3,female,21
22,dhps19hah2f4fzq,novice,1,23,9.4,22,プリンスハイムSOLEIL,12.6,4,22,11.4,9.4,4,3,female,21
23,dhps19hah2f4fzq,novice,1,24,9.5,7,アーバンネット三丁目,13.3,7,11,13.1,9.1,4,3,female,21
24,dhps19hah2f4fzq,novice,2,1,7.2,5,ライフヴィラ白山,10.5,6,37,8.2,7.0,4,3,female,21
25,dhps19hah2f4fzq,novice,2,2,10.4,7,アーバンネット三丁目,13.3,7,11,13.1,9.1,4,3,female,21
26,dhps19hah2f4fzq,novice,2,3,13.0,16,リバーサイド黒田,16.1,2,22,13.2,11.1,4,3,female,21
27,dhps19hah2f4fzq,novice,2,4,13.5,15,あじさいテラス,15.1,5,19,12.9,12.0,4,3,female,21
28,dhps19hah2f4fzq,novice,2,5,13.8,19,グランポルテWILL,12.5,2,23,11.3,10.1,4,3,female,21
29,dhps19hah2f4fzq,novice,2,6,11.1,4,レジデンス三葉,13.0,5,33,10.0,7.5,4,3,female,21
30,dhps19hah2f4fzq,novice,2,7,10.4,22,プリンスハイムSOLEIL,12.6,4,22,11.4,9.4,4,3,female,21
31,dhps19hah2f4fzq,novice,2,8,12.2,12,サンセットプレイス犬飼,15.9,9,7,14.8,12.4,4,3,female,21
32,dhps19hah2f4fzq,novice,2,9,12.3,1,ファイブスター後楽園,8.7,2,44,6.6,6.0,4,3,female,21
33,dhps19hah2f4fzq,novice,2,10,8.6,8,ふたばハイツ,19.0,7,36,12.4,11.8,4,3,female,21
34,dhps19hah2f4fzq,novice,2,11,10.0,9,つばき荘,15.8,4,24,12.7,8.7,4,3,female,21
35,dhps19hah2f4fzq,novice,2,12,15.5,6,ハートフル文京,23.3,1,60,11.5,11.7,4,3,female,21
36,dhps19hah2f4fzq,novice,3,1,8.8,1,ファイブスター後楽園,8.7,2,44,6.6,6.0,4,3,female,21
37,dhps19hah2f4fzq,novice,3,2,10.8,16,リバーサイド黒田,16.1,2,22,13.2,11.1,4,3,female,21
38,dhps19hah2f4fzq,novice,3,3,8.5,17,レインボーハウスRaffine,12.5,8,41,8.5,8.3,4,3,female,21
39,dhps19hah2f4fzq,novice,3,4,11.7,8,ふたばハイツ,19.0,7,36,12.4,11.8,4,3,female,21
40,dhps19hah2f4fzq,novice,3,5,12.1,15,あじさいテラス,15.1,5,19,12.9,12.0,4,3,female,21
41,dhps19hah2f4fzq,novice,3,6,11.6,19,グランポルテWILL,12.5,2,23,11.3,10.1,4,3,female,21
42,dhps19hah2f4fzq,novice,3,7,13.8,2,さくらヒルズレジデンス,21.3,5,19,15.9,14.5,4,3,female,21
43,dhps19hah2f4fzq,novice,3,8,15.0,14,グリーンリッジ本郷,18.5,2,4,16.8,13.8,4,3,female,21
44,dhps19hah2f4fzq,novice,3,9,11.6,13,ソレイユ豊川,13.4,5,13,13.0,9.6,4,3,female,21
45,dhps19hah2f4fzq,novice,3,10,11.6,6,ハートフル文京,23.3,1,60,11.5,11.7,4,3,female,21
46,dhps19hah2f4fzq,novice,3,11,8.3,23,センチュリーMINERVA,12.3,6,52,7.0,6.9,4,3,female,21
47,dhps19hah2f4fzq,novice,3,12,9.1,3,カーサ・ヴィラJulio,18.4,4,46,10.9,8.5,4,3,female,21
48,dhps19hah2f4fzq,novice,3,13,11.3,9,つばき荘,15.8,4,24,12.7,8.7,4,3,female,21
49,dhps19hah2f4fzq,novice,3,14,11.6,7,アーバンネット三丁目,13.3,7,11,13.1,9.1,4,3,female,21
50,dhps19hah2f4fzq,novice,3,15,8.4,5,ライフヴィラ白山,10.5,6,37,8.2,7.0,4,3,female,21
51,dhps19hah2f4fzq,novice,3,16,9.1,10,コーポ内藤,13.0,4,48,8.0,11.1,4,3,female,21
52,dhps19hah2f4fzq,novice,3,17,10.3,4,レジデンス三葉,13.0,5,33,10.0,7.5,4,3,female,21
53,dhps19hah2f4fzq,novice,3,18,11.7,20,ジャスミンガーデンズ東大前,14.7,8,19,12.6,10.1,4,3,female,21
54,dhps19hah2f4fzq,novice,3,19,10.8,22,プリンスハイムSOLEIL,12.6,4,22,11.4,9.4,4,3,female,21
55,dhps19hah2f4fzq,novice,3,20,11.4,21,ウッドランド中西,15.8,7,8,14.7,14.5,4,3,female,21
56,dhps19hah2f4fzq,novice,3,21,12.5,12,サンセットプレイス犬飼,15.9,9,7,14.8,12.4,4,3,female,21
57,dhps19hah2f4fzq,novice,3,22,8.0,11,はまなすレイクビュー,10.9,5,35,8.7,6.8,4,3,female,21
58,dhps19hah2f4fzq,novice,3,23,6.5,0,ライフホームVIBRANT,7.3,5,18,9.3,5.9,4,3,female,21
59,dhps19hah2f4fzq,novice,3,24,10.0,18,ハイランド竹澤,12.8,3,20,11.8,10.3,4,3,female,21
60,6h3k3qqw18ykdvq,expert,1,1,12.0,6,コーポ内藤,23.3,1,60,11.5,11.7,2,3,male,20
61,6h3k3qqw18ykdvq,expert,1,2,15.0,14,グランポルテWILL,18.5,2,4,16.8,13.8,2,3,male,20
62,6h3k3qqw18ykdvq,expert,1,3,8.0,19,グリーンリッジ本郷,12.5,2,23,11.3,10.1,2,3,male,20
63,6h3k3qqw18ykdvq,expert,1,4,5.0,8,レインボーハウスRaffine,19.0,7,36,12.4,11.8,2,3,male,20
