,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
0,j52x7ovk6xtp7h7,expert,1,1,20.8,16,コーポ内藤,16.1,2,22,11.2,11.1,3,2,male,22
1,j52x7ovk6xtp7h7,expert,1,2,9.1,11,ふたばハイツ,10.9,5,35,7.5,6.8,3,2,male,22
2,j52x7ovk6xtp7h7,expert,1,3,9.3,5,レジデンス三葉,10.5,6,37,7.2,7.0,3,2,male,22
3,j52x7ovk6xtp7h7,expert,1,4,15.0,9,はまなすレイクビュー,15.8,4,24,10.7,8.7,3,2,male,22
4,j52x7ovk6xtp7h7,expert,1,5,13.8,19,ファイブスター後楽園,12.5,2,23,9.4,10.1,3,2,male,22
5,j52x7ovk6xtp7h7,expert,1,6,10.1,3,ジャスミンガーデンズ東大前,18.4,4,46,9.8,8.5,3,2,male,22
6,j52x7ovk6xtp7h7,expert,1,7,21.1,14,あじさいテラス,18.5,2,4,14.3,13.8,3,2,male,22
7,j52x7ovk6xtp7h7,expert,1,8,8.9,0,ハイランド竹澤,7.3,5,18,7.5,5.9,3,2,male,22
8,j52x7ovk6xtp7h7,expert,1,9,11.0,6,さくらヒルズレジデンス,23.3,1,60,10.8,11.7,3,2,male,22
9,j52x7ovk6xtp7h7,expert,1,10,12.8,4,カーサ・ヴィラJulio,13.0,5,33,8.5,7.5,3,2,male,22
10,j52x7ovk6xtp7h7,expert,1,11,16.7,15,サンセットプレイス犬飼,15.1,5,19,10.8,12.0,3,2,male,22
11,j52x7ovk6xtp7h7,expert,1,12,21.1,21,ウッドランド中西,15.8,7,8,12.2,14.5,3,2,male,22
12,j52x7ovk6xtp7h7,expert,1,13,13.1,17,ハートフル文京,12.5,8,41,7.5,8.3,3,2,male,22
13,j52x7ovk6xtp7h7,expert,1,14,18.7,12,アーバンネット三丁目,15.9,9,7,12.2,12.4,3,2,male,22
14,j52x7ovk6xtp7h7,expert,1,15,15.3,8,グランポルテWILL,19.0,7,36,10.9,11.8,3,2,male,22
15,j52x7ovk6xtp7h7,expert,1,16,12.4,22,つばき荘,12.6,4,22,9.4,9.4,3,2,male,22
16,j52x7ovk6xtp7h7,expert,1,17,17.4,2,プリンスハイムSOLEIL,21.3,5,19,13.9,14.5,3,2,male,22
17,j52x7ovk6xtp7h7,expert,1,18,8.9,1,ソレイユ豊川,8.7,2,44,6.2,6.0,3,2,male,22
18,j52x7ovk6xtp7h7,expert,1,19,12.0,7,ライフホームVIBRANT,13.3,7,11,10.7,9.1,3,2,male,22
19,j52x7ovk6xtp7h7,expert,1,20,13.5,20,センチュリーMINERVA,14.7,8,19,10.5,10.1,3,2,male,22
20,j52x7ovk6xtp7h7,expert,1,21,11.0,23,レインボーハウスRaffine,12.3,6,52,6.7,6.9,3,2,male,22
21,j52x7ovk6xtp7h7,expert,1,22,14.8,13,グリーンリッジ本郷,13.4,5,13,10.6,9.6,3,2,male,22
22,j52x7ovk6xtp7h7,expert,1,23,11.4,10,リバーサイド黒田,13.0,4,48,7.3,11.1,3,2,male,22
23,j52x7ovk6xtp7h7,expert,1,24,12.6,18,ライフヴィラ白山,12.8,3,20,9.8,10.3,3,2,male,22
24,j52x7ovk6xtp7h7,expert,2,1,20.0,12,アーバンネット三丁目,15.9,9,7,12.2,12.4,3,2,male,22
25,j52x7ovk6xtp7h7,expert,2,2,10.6,13,グリーンリッジ本郷,13.4,5,13,10.6,9.6,3,2,male,22
26,j52x7ovk6xtp7h7,expert,2,3,12.8,21,ウッドランド中西,15.8,7,8,12.2,14.5,3,2,male,22
27,j52x7ovk6xtp7h7,expert,2,4,15.4,14,あじさいテラス,18.5,2,4,14.3,13.8,3,2,male,22
28,j52x7ovk6xtp7h7,expert,2,5,7.6,0,ハイランド竹澤,7.3,5,18,7.5,5.9,3,2,male,22
29,j52x7ovk6xtp7h7,expert,2,6,11.3,8,グランポルテWILL,19.0,7,36,10.9,11.8,3,2,male,22
30,j52x7ovk6xtp7h7,expert,2,7,11.0,3,ジャスミンガーデンズ東大前,18.4,4,46,9.8,8.5,3,2,male,22
31,j52x7ovk6xtp7h7,expert,2,8,12.8,19,ファイブスター後楽園,12.5,2,23,9.4,10.1,3,2,male,22
32,j52x7ovk6xtp7h7,expert,2,9,9.4,17,ハートフル文京,12.5,8,41,7.5,8.3,3,2,male,22
33,j52x7ovk6xtp7h7,expert,2,10,9.3,18,ライフヴィラ白山,12.8,3,20,9.8,10.3,3,2,male,22
34,j52x7ovk6xtp7h7,expert,2,11,6.5,1,ソレイユ豊川,8.7,2,44,6.2,6.0,3,2,male,22
35,j52x7ovk6xtp7h7,expert,2,12,10.2,6,さくらヒルズレジデンス,23.3,1,60,10.8,11.7,3,2,male,22
36,j52x7ovk6xtp7h7,expert,3,1,13.6,13,グリーンリッジ本郷,13.4,5,13,10.6,9.6,3,2,male,22
37,j52x7ovk6xtp7h7,expert,3,2,21.1,14,あじさいテラス,18.5,2,4,14.3,13.8,3,2,male,22
38,j52x7ovk6xtp7h7,expert,3,3,13.1,22,つばき荘,12.6,4,22,9.4,9.4,3,2,male,22
39,j52x7ovk6xtp7h7,expert,3,4,11.7,2,プリンスハイムSOLEIL,21.3,5,19,13.9,14.5,3,2,male,22
40,j52x7ovk6xtp7h7,expert,3,5,16.9,21,ウッドランド中西,15.8,7,8,12.2,14.5,3,2,male,22
41,j52x7ovk6xtp7h7,expert,3,6,15.0,12,アーバンネット三丁目,15.9,9,7,12.2,12.4,3,2,male,22
42,j52x7ovk6xtp7h7,expert,3,7,14.0,4,カーサ・ヴィラJulio,13.0,5,33,8.5,7.5,3,2,male,22
43,j52x7ovk6xtp7h7,expert,3,8,13.2,6,さくらヒルズレジデンス,23.3,1,60,10.8,11.7,3,2,male,22
44,j52x7ovk6xtp7h7,expert,3,9,13.6,3,ジャスミンガーデンズ東大前,18.4,4,46,9.8,8.5,3,2,male,22
45,j52x7ovk6xtp7h7,expert,3,10,10.9,5,レジデンス三葉,10.5,6,37,7.2,7.0,3,2,male,22
46,j52x7ovk6xtp7h7,expert,3,11,9.1,0,ハイランド竹澤,7.3,5,18,7.5,5.9,3,2,male,22
47,j52x7ovk6xtp7h7,expert,3,12,13.6,9,はまなすレイクビュー,15.8,4,24,10.7,8.7,3,2,male,22
48,j52x7ovk6xtp7h7,expert,3,13,12.3,7,ライフホームVIBRANT,13.3,7,11,10.7,9.1,3,2,male,22
49,j52x7ovk6xtp7h7,expert,3,14,15.7,8,グランポルテWILL,19.0,7,36,10.9,11.8,3,2,male,22
50,j52x7ovk6xtp7h7,expert,3,15,13.8,15,サンセットプレイス犬飼,15.1,5,19,10.8,12.0,3,2,male,22
51,j52x7ovk6xtp7h7,expert,3,16,11.5,17,ハートフル文京,12.5,8,41,7.5,8.3,3,2,male,22
52,j52x7ovk6xtp7h7,expert,3,17,13.8,19,ファイブスター後楽園,12.5,2,23,9.4,10.1,3,2,male,22
53,j52x7ovk6xtp7h7,expert,3,18,12.3,23,レインボーハウスRaffine,12.3,6,52,6.7,6.9,3,2,male,22
54,j52x7ovk6xtp7h7,expert,3,19,14.4,20,センチュリーMINERVA,14.7,8,19,10.5,10.1,3,2,male,22
55,j52x7ovk6xtp7h7,expert,3,20,14.5,18,ライフヴィラ白山,12.8,3,20,9.8,10.3,3,2,male,22
56,j52x7ovk6xtp7h7,expert,3,21,7.5,1,ソレイユ豊川,8.7,2,44,6.2,6.0,3,2,male,22
57,j52x7ovk6xtp7h7,expert,3,22,14.5,16,コーポ内藤,16.1,2,22,11.2,11.1,3,2,male,22
58,j52x7ovk6xtp7h7,expert,3,23,12.1,11,ふたばハイツ,10.9,5,35,7.5,6.8,3,2,male,22
59,j52x7ovk6xtp7h7,expert,3,24,10.7,10,リバーサイド黒田,13.0,4,48,7.3,11.1,3,2,male,22
120,cq56rxkkq87fl64,expert,1,1,8.0,4,コーポ内藤,13.0,5,33,8.5,7.5,3,2,female,23
121,cq56rxkkq87fl64,expert,1,2,12.0,2,ライフホームVIBRANT,21.3,5,19,13.9,14.5,3,2,female,23
122,cq56rxkkq87fl64,expert,1,3,12.0,7,つばき荘,13.3,7,11,10.7,9.1,3,2,female,23
123,cq56rxkkq87fl64,expert,1,4,6.0,23,アーバンネット三丁目,12.3,6,52,6.7,6.9,3,2,female,23
124,cq56rxkkq87fl64,expert,1,5,6.5,17,グリーンリッジ本郷,12.5,8,41,7.5,8.3,3,2,female,23
125,cq56rxkkq87fl64,expert,1,6,6.5,3,ソレイユ豊川,18.4,4,46,9.8,8.5,3,2,female,23
126,cq56rxkkq87fl64,expert,1,7,9.0,19,ライフヴィラ白山,12.5,2,23,9.4,10.1,3,2,female,23
127,cq56rxkkq87fl64,expert,1,8,11.0,18,ファイブスター後楽園,12.8,3,20,9.8,10.3,3,2,female,23
128,cq56rxkkq87fl64,expert,1,9,6.0,11,ハイランド竹澤,10.9,5,35,7.5,6.8,3,2,female,23
129,cq56rxkkq87fl64,expert,1,10,6.0,5,グランポルテWILL,10.5,6,37,7.2,7.0,3,2,female,23
130,cq56rxkkq87fl64,expert,1,11,7.0,8,さくらヒルズレジデンス,19.0,7,36,10.9,11.8,3,2,female,23
131,cq56rxkkq87fl64,expert,1,12,8.0,20,サンセットプレイス犬飼,14.7,8,19,10.5,10.1,3,2,female,23
132,cq56rxkkq87fl64,expert,1,13,10.0,9,あじさいテラス,15.8,4,24,10.7,8.7,3,2,female,23
133,cq56rxkkq87fl64,expert,1,14,6.0,1,ウッドランド中西,8.7,2,44,6.2,6.0,3,2,female,23
134,cq56rxkkq87fl64,expert,1,15,8.0,22,はまなすレイクビュー,12.6,4,22,9.4,9.4,3,2,female,23
135,cq56rxkkq87fl64,expert,1,16,15.0,14,レインボーハウスRaffine,18.5,2,4,14.3,13.8,3,2,female,23
136,cq56rxkkq87fl64,expert,1,17,10.0,15,ふたばハイツ,15.1,5,19,10.8,12.0,3,2,female,23
137,cq56rxkkq87fl64,expert,1,18,5.9,6,リバーサイド黒田,23.3,1,60,10.8,11.7,3,2,female,23
138,cq56rxkkq87fl64,expert,1,19,10.0,16,レジデンス三葉,16.1,2,22,11.2,11.1,3,2,female,23
139,cq56rxkkq87fl64,expert,1,20,10.0,12,センチュリーMINERVA,15.9,9,7,12.2,12.4,3,2,female,23
